round,accuracy
1,
2,
3,0.7183
4,
5,
6,0.7224
7,
8,
9,0.7214
10,
11,
12,0.7219
13,
14,
15,0.7243
16,
17,
18,0.723
19,
20,
21,0.7244
22,
23,
24,0.7215
25,
26,
27,0.7221
28,
29,
30,0.7237
