round,accuracy
1,
2,
3,0.7803357891388634
4,
5,
6,0.6592935189085564
7,
8,
9,0.7097220670030863
10,
11,
12,0.7085357152067949
13,
14,
15,0.708991343070588
16,
17,
18,0.7478572595273506
19,
20,
21,0.7505050591886385
22,
23,
24,0.75369445423519
25,
26,
27,0.8083869913946511
28,
29,
30,0.7206399422298255
