round,accuracy
1,
2,
3,0.328
4,
5,
6,0.2404
7,
8,
9,0.2063
10,
11,
12,0.3007
13,
14,
15,0.3127
16,
17,
18,0.3792
19,
20,
21,0.3186
22,
23,
24,0.3193
25,
26,
27,0.3098
28,
29,
30,0.2994
