round,accuracy
1,
2,
3,0.7139
4,
5,
6,0.7043
7,
8,
9,0.7081
10,
11,
12,0.7098
13,
14,
15,0.7066
16,
17,
18,0.71
19,
20,
21,0.7092
22,
23,
24,0.7139
25,
26,
27,0.7096
28,
29,
30,0.7114
